mitigation-ID,STIX ID,mitigation-name,description,url,created,last modified,domain,version,relationship citations
M1053,course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19-Jul-19,31-Mar-20,enterprise-attack,1.1,"(Citation: Unit 42 Palo Alto Ransomware in Public Clouds 2022),(Citation: Rhino S3 Ransomware Part 2),(Citation: Ready.gov IT DRP)"
M1057,course-of-action--65401701-019d-44ff-b223-08d520bb0e7b,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)",https://attack.mitre.org/mitigations/M1057,04-Aug-21,30-Aug-21,enterprise-attack,1,
M1042,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11-Jun-19,31-Mar-20,enterprise-attack,1.1,"(Citation: TechNet Removable Media Control),(Citation: SpecterOps Certified Pre Owned),(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: Microsoft Disable VBA Jan 2020),(Citation: Microsoft ADV170021 Dec 2017),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Amazon AWS IMDS V2),(Citation: GitHub MOTW),(Citation: Microsoft AlwaysInstallElevated 2018),(Citation: Microsoft Disable Macros),(Citation: Microsoft Disable Autorun),(Citation: Symantec SSH and ssh-agent),(Citation: Microsoft BEC Campaign),(Citation: ADSecurity Windows Secure Baseline),(Citation: TechNet Screensaver GP),(Citation: Microsoft Disable DCOM),(Citation: Microsoft DDE Advisory Nov 2017),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: ITSyndicate Disabling PHP functions),(Citation: Microsoft Network access Credential Manager),(Citation: Gmail Delegation),(Citation: MRWLabs Office Persistence Add-ins)"
M1055,course-of-action--787fb64d-c87b-4ee5-a341-0ef17ec4c15c,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19-Jul-19,23-Jul-19,enterprise-attack,1,
M1041,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11-Jun-19,11-Jun-19,enterprise-attack,1,"(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Amazon S3 Security, 2019),(Citation: SpecterOps Certified Pre Owned),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Microsoft Azure Storage Security, 2019),(Citation: Google Cloud Encryption Key Rotation),(Citation: Metcalf 2015),(Citation: Microsoft Primary Refresh Token)"
M1039,course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11-Jun-19,11-Jun-19,enterprise-attack,1,(Citation: Securing bash history)
M1038,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11-Jun-19,28-Feb-22,enterprise-attack,1.2,"(Citation: Beechey 2010),(Citation: Wikibooks Grsecurity),(Citation: TechNet Applocker vs SRP),(Citation: Microsoft WDAC),(Citation: SANS Application Whitelisting),(Citation: Microsoft Using Software Restriction ),(Citation: Kernel Self Protection Project),(Citation: Corio 2008),(Citation: Microsoft Windows Defender Application Control),(Citation: LKM loading kernel restrictions),(Citation: Microsoft PowerShell CLM),(Citation: Technospot Chrome Extensions GP),(Citation: Kubernetes Security Context),(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: Microsoft Application Lockdown),(Citation: Default VBS macros Blocking ),(Citation: Kubernetes Hardening Guide),(Citation: Windows Commands JPCERT),(Citation: file_upload_attacks_pt2),(Citation: Kernel.org Restrict Kernel Module),(Citation: Microsoft Driver Block Rules),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: NSA MS AppLocker),(Citation: Dormann Dangers of VHD 2019),(Citation: Increasing Linux kernel integrity)"
M1050,course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11-Jun-19,20-Jun-20,enterprise-attack,1.1,"(Citation: Microsoft Windows Defender Application Control),(Citation: Windows Commands JPCERT),(Citation: Beechey 2010),(Citation: Wikipedia Control Flow Integrity),(Citation: TechNet Applocker vs SRP),(Citation: Secure Host Baseline EMET),(Citation: NSA MS AppLocker),(Citation: TechNet Moving Beyond EMET),(Citation: Corio 2008)"
M1037,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11-Jun-19,20-Jun-20,enterprise-attack,1.1,"(Citation: Cisco ARP Poisoning Mitigation 2016),(Citation: ntlm_relaying_kerberos_del),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Secure Ideas SMB Relay),(Citation: Microsoft Preventing SMB),(Citation: RedLock Instance Metadata API 2018),(Citation: US-CERT SMB Security),(Citation: Microsoft SMB Packet Signing),(Citation: US-CERT APT Energy Oct 2017),(Citation: CERT-EU DDoS March 2017),(Citation: Juniper DAI 2020),(Citation: byt3bl33d3r NTLM Relaying)"
M1035,course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11-Jun-19,09-Jun-20,enterprise-attack,1,"(Citation: Kubernetes Cloud Native Security),(Citation: Wikipedia 802.1x),(Citation: Docker Daemon Socket Protect),(Citation: Microsoft AKS Azure AD 2023),(Citation: Kubernetes API Control Access),(Citation: TechNet RDP Gateway)"
M1034,course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11-Jun-19,09-Jun-20,enterprise-attack,1,
M1033,course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11-Jun-19,11-Jun-19,enterprise-attack,1,
M1032,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10-Jun-19,21-Oct-22,enterprise-attack,1,"(Citation: Expel IO Evil in AWS),(Citation: Amazon S3 Security, 2019),(Citation: Berkley Secure),(Citation: MFA Fatigue Attacks - PortSwigger),(Citation: Evilginx 2 July 2018),(Citation: Microsoft - Device Registration),(Citation: CISA MFA PrintNightmare),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Mandiant APT29 Microsoft 365 2022),(Citation: AWS - IAM Console Best Practices),(Citation: Microsoft Nobelium Admin Privileges)"
M1031,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10-Jun-19,10-Jun-19,enterprise-attack,1,"(Citation: Anomali Template Injection MAR 2018),(Citation: US-CERT-TA18-106A),(Citation: Cybereason Dissecting DGAs),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Cisco Umbrella DGA Brute Force),(Citation: dhcp_serv_op_events),(Citation: Akamai DGA Mitigation),(Citation: University of Birmingham C2)"
M1030,course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10-Jun-19,14-May-20,enterprise-attack,1.1,"(Citation: NSA Spotting),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Harmj0y Domain Trusts),(Citation: TechNet Firewall Design)"
M1028,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06-Jun-19,31-Mar-23,enterprise-attack,1.2,"(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: TechNet Removable Media Control),(Citation: Apple Developer Doco Hardened Runtime),(Citation: Seqrite DoubleExtension),(Citation: Tilbury Windows Credentials),(Citation: reagentc_cmd),(Citation: SpectorOps Code Signing Dec 2017),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: TechNet RDP NLA),(Citation: Microsoft WDigest Mit),(Citation: Microsoft BITS),(Citation: UCF STIG Elevation Account Enumeration),(Citation: HowToGeek ShowExtension),(Citation: EnableMPRNotifications),(Citation: Windows Anonymous Enumeration of SAM Accounts),(Citation: Microsoft Disable NTLM Nov 2012),(Citation: Windows RDP Sessions),(Citation: TechNet Server Operator Scheduled Task)"
M1027,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06-Jun-19,21-Oct-22,enterprise-attack,1,"(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet),(Citation: store_pwd_rev_enc),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: NIST 800-63-3),(Citation: Microsoft Install Password Filter n.d),(Citation: AWS - IAM Console Best Practices)"
M1056,course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19-Oct-20,20-Oct-20,enterprise-attack,1,
M1026,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06-Jun-19,31-Mar-20,enterprise-attack,1.1,"(Citation: CyberArk Labs Safe Mode 2016),(Citation: Kubernetes Service Accounts),(Citation: TechNet Credential Theft),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: MagicWeb),(Citation: Netspi PowerShell Execution Policy Bypass),(Citation: Protecting Microsoft 365 From On-Premises Attacks),(Citation: Microsoft Security Alerts for Azure AD Roles),(Citation: FireEye ADFS),(Citation: Microsoft Azure security baseline for Azure Active Directory),(Citation: Microsoft runas),(Citation: TechNet Least Privilege),(Citation: FireEye WMI 2015),(Citation: Microsoft Replace Process Token),(Citation: Kubernetes Admission Controllers),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Microsoft Create Token),(Citation: Microsoft System Wide Com Keys),(Citation: Microsoft Process Wide Com Keys),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft Securing Privileged Access),(Citation: Microsoft Requests for Azure AD Roles in Privileged Identity Management),(Citation: Microsoft COM ACL),(Citation: ADSecurity AD Kerberos Attacks),(Citation: Tilbury Windows Credentials),(Citation: TechNet Scheduling Priority),(Citation: Mandiant Azure Run Command 2021),(Citation: AWS Setting Up Run Command),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft PS JEA),(Citation: Microsoft Remote Use of Local)"
M1025,course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06-Jun-19,20-May-20,enterprise-attack,1.1,"(Citation: Graeber 2014),(Citation: Microsoft Configure LSA),(Citation: Microsoft LSA Protection Mar 2014),(Citation: Microsoft LSA)"
M1029,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06-Jun-19,06-Jun-19,enterprise-attack,1,(Citation: Ready.gov IT DRP)
M1022,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06-Jun-19,20-May-20,enterprise-attack,1.1,"(Citation: InsiderThreat NTFS EA Oct 2017),(Citation: cisco_deploy_rsa_keys),(Citation: win_xml_evt_log),(Citation: Microsoft ETW May 2018),(Citation: Microsoft W32Time May 2017),(Citation: create_sym_links),(Citation: piazza launch agent mitigation)"
M1044,course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11-Jun-19,11-Jun-19,enterprise-attack,1,"(Citation: Microsoft Dynamic Link Library Search Order),(Citation: Microsoft More information about DLL),(Citation: Microsoft DLL Security)"
M1024,course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06-Jun-19,31-Mar-23,enterprise-attack,1.1,"(Citation: Microsoft W32Time May 2017),(Citation: Microsoft System Services Fundamentals),(Citation: def_ev_win_event_logging)"
M1021,course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06-Jun-19,06-Jun-19,enterprise-attack,1,(Citation: Microsoft Azure AD Admin Consent)
M1020,course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06-Jun-19,06-Jun-19,enterprise-attack,1,
M1054,course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19-Jul-19,31-Mar-20,enterprise-attack,1.1,"(Citation: CyberArk Labs Safe Mode 2016),(Citation: CloudSploit - Unused AWS Regions),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Cisco Securing SNMP),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: ACSC Email Spoofing),(Citation: Microsoft Anti Spoofing),(Citation: Chromium HSTS),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Wikipedia HPKP),(Citation: Palo Alto Office Test Sofacy)"
M1019,course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06-Jun-19,06-Jun-19,enterprise-attack,1,
M1051,course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11-Jun-19,07-Jul-20,enterprise-attack,1,"(Citation: Cisco Blog Legacy Device Attacks),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: SensePost Outlook Forms),(Citation: NSA Spotting),(Citation: MS14-025),(Citation: Github UACMe),(Citation: SensePost Outlook Home Page)"
M1052,course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11-Jun-19,31-Mar-20,enterprise-attack,1.1,"(Citation: Executable Installers are Vulnerable),(Citation: GitHub IAD Secure Host Baseline UAC Filtering)"
M1018,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06-Jun-19,20-May-20,enterprise-attack,1.1,"(Citation: Amazon  AWS Temporary Security Credentials),(Citation: Amazon S3 Security, 2019),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: NSA and ASD Detect and Prevent Web Shells 2020),(Citation: Microsoft WMI Filters),(Citation: Crowdstrike AWS User Federation Persistence),(Citation: Wald0 Guide to GPOs),(Citation: Microsoft ETW May 2018),(Citation: Apple TN2459 Kernel Extensions),(Citation: Office 365 Partner Relationships),(Citation: Expel IO Evil in AWS),(Citation: Microsoft Azure Storage Security, 2019),(Citation: UCF STIG Symbolic Links),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft GPO Security Filtering),(Citation: MDMProfileConfigMacOS),(Citation: Symantec BITS May 2007),(Citation: Kubernetes RBAC),(Citation: Mandiant M-Trends 2020),(Citation: Microsoft SolarWinds Customer Guidance)"
M1017,course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06-Jun-19,21-Oct-20,enterprise-attack,1.2,"(Citation: CISA Phishing),(Citation: Re-Open windows on Mac)"
M1016,course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06-Jun-19,14-Jul-20,enterprise-attack,1.1,(Citation: OWASP Top 10)
